"Order  #","Ext","Customer Code","Ship To","Ship To Name","Location","Customer PO No","Carrier","FOB","Attention","Tax Code","Terms","Currency","Total Order Amt","Total Tax","Total Discount","Freight Amt","Total Invoice","Invoice No","Invoice Date","Enter Date","Sch Ship Date","Ship Date","Status","Who Enter","Blanket","Multiple Ship To","Customer Name (from master)"
"1971591","0","C0002568","13049NC","AFP Btm Add-Bills And Notices","NYC","6892403","Kubra","DEST","","E","N0","USD","4.66","0","0","0","4.66","INV0217413","2025-09-03","2025-08-01 2:23","2025-08-01 2:23","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971538","0","C0002568","13050NC","PDF Btm Addr Bills & Centralized Letters","NYC","6892312","Kubra","DEST","","E","N0","USD","0.12","0","0","0","0.12","INV0217414","2025-09-03","2025-08-01 1:26","2025-08-01 1:26","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1971976","0","C0002570","13029DL","Letters-PSE","DAL","6893039","Kubra","DEST","","E14","N0","USD","10.56","0.87","0","0","11.43","INV0217416","2025-09-03","2025-08-01 10:18","2025-08-01 10:18","2025-08-31","Shipped/Transferred","sa","No","No","GridX Inc"
"1972359","0","C0002572","13033DL","Correspondence-PNG","DAL","6894156","Kubra","DEST","","E","N0","USD","382.92","0","0","0","382.92","INV0216725","2025-08-30","2025-08-01 23:15","2025-08-01 23:15","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1972358","0","C0002572","13033DL","Correspondence-PNG","DAL","6894155","Kubra","DEST","","E","N0","USD","4.56","0","0","0","4.56","INV0216725","2025-08-30","2025-08-01 23:15","2025-08-01 23:15","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1972357","0","C0002572","13026DL","Bills-PNG","DAL","6894152","Kubra","DEST","","E","N0","USD","324.38","0","0","0","324.38","INV0216724","2025-08-30","2025-08-01 23:14","2025-08-01 23:14","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1972330","0","C0002572","13033DL","Correspondence-PNG","DAL","6894108","Kubra","DEST","","E","N0","USD","93.95","0","0","0","93.95","INV0216725","2025-08-30","2025-08-01 23:04","2025-08-01 23:04","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1972329","0","C0002572","13033DL","Correspondence-PNG","DAL","6894107","Kubra","DEST","","E","N0","USD","56.2","0","0","0","56.2","INV0216725","2025-08-30","2025-08-01 23:04","2025-08-01 23:04","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1972328","0","C0002572","13033DL","Correspondence-PNG","DAL","6894106","Kubra","DEST","","E","N0","USD","4.19","0","0","0","4.19","INV0216725","2025-08-30","2025-08-01 23:03","2025-08-01 23:03","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1972327","0","C0002572","13033DL","Correspondence-PNG","DAL","6894105","Kubra","DEST","","E","N0","USD","4.45","0","0","0","4.45","INV0216725","2025-08-30","2025-08-01 23:03","2025-08-01 23:03","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1972326","0","C0002572","13033DL","Correspondence-PNG","DAL","6894104","Kubra","DEST","","E","N0","USD","18.54","0","0","0","18.54","INV0216725","2025-08-30","2025-08-01 23:02","2025-08-01 23:02","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1972325","0","C0002572","13033DL","Correspondence-PNG","DAL","6894103","Kubra","DEST","","E","N0","USD","1.89","0","0","0","1.89","INV0216725","2025-08-30","2025-08-01 23:02","2025-08-01 23:02","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971563","0","C0002572","13026DL","Bills-PNG","DAL","6892348","Kubra","DEST","","E","N0","USD","1206.03","0","0","0","1206.03","INV0216724","2025-08-30","2025-08-01 1:37","2025-08-01 1:37","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971549","0","C0002572","13033DL","Correspondence-PNG","DAL","6892322","Kubra","DEST","","E","N0","USD","120.05","0","0","0","120.05","INV0216725","2025-08-30","2025-08-01 1:30","2025-08-01 1:30","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971548","0","C0002572","13033DL","Correspondence-PNG","DAL","6892321","Kubra","DEST","","E","N0","USD","61.49","0","0","0","61.49","INV0216725","2025-08-30","2025-08-01 1:30","2025-08-01 1:30","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971547","0","C0002572","13033DL","Correspondence-PNG","DAL","6892320","Kubra","DEST","","E","N0","USD","54.95","0","0","0","54.95","INV0216725","2025-08-30","2025-08-01 1:29","2025-08-01 1:29","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
"1971546","0","C0002572","13033DL","Correspondence-PNG","DAL","6892319","Kubra","DEST","","E","N0","USD","1.68","0","0","0","1.68","INV0216725","2025-08-30","2025-08-01 1:29","2025-08-01 1:29","2025-08-31","Shipped/Transferred","sa","No","No","Duke Energy Corporation"
