Order No,Order Ext,Line No,Location,Part No,Description,Uom,Ordered,Shipped,Price,Ext Price,Status,Sch Ship Date,Req Ship Date,Forwarder Key
1972195,0,12,LA,ix32059,LA - i-doxs Payment Fee - IVR - Police,EA,0.00001,0.00001,0.27,0.0000027,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972195,0,13,LA,ix32060,LA - i-doxs Payment Fee - CSR - POS,EA,0.00001,0.00001,0.12,0.0000012,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972195,0,14,LA,ix32061,LA - i-doxs Payment Fee - ONE - POS,EA,1088,1088,0.12,130.56,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972193,0,3,LA,IX31021,LA - i-doxs Data Retention,EA,1,1,551.25,551.25,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972146,0,2,NYC,IX1217,NYC - i-doxs Payment Fee - Residential ACH,EA,30457,30457,0.1,3045.7,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972146,0,3,NYC,IX1218,NYC - i-doxs Payment Fee - Comercial ACH,EA,146,146,0.1,14.6,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972146,0,4,NYC,IX12171,NYC - i-doxs Payment Fee - Residential ACH Returns,EA,229,229,0.25,57.25,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972146,0,5,NYC,IX12181,NYC - i-doxs Payment Fee - Comercial ACH Returns,EA,5,5,0.25,1.25,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972134,0,1,NYC,IX1101,API - Monthly M&S DEC - Jul25,EA,1,1,10000,10000,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972134,0,2,NYC,IX1102,API - Monthly Intent Fulfillment - Jul25,EA,18377698,18377698,0.003,55133.094,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972134,0,3,NYC,IX11012,API - Monthly M&S DEP - Jul25,EA,1,1,10000,10000,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972134,0,4,NYC,IX11013,API - Monthly M&S DEF - Jul25,EA,1,1,10000,10000,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972134,0,5,NYC,IX11014,API - Monthly M&S DEW - Jul25,EA,1,1,10000,10000,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972121,0,2,NYC,ix12711,ACH Origination fees,EA,1,1,4597,4597,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972119,0,1,NYC,IX1302,NYC - i-doxs Chargeback Fee,EA,34,34,4.95,168.3,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972119,0,2,NYC,IX1303,NYC - i-doxs Return Fee,EA,11,11,4.95,54.45,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972118,0,2,LA,IX3102,LA - i-doxs Load Fee - Documents - Customer Fund Management,EA,54892,54892,0.0015,82.338,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972118,0,3,LA,IX3268,LA - i-doxs Payment Fee - VBS_ACH_ECP,EA,2092298,2092298,0.024,50215.152,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972106,0,1,NYC,IX1201,NYC - i-doxs Payment Fee - ACH,EA,296,296,1.5,444,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972106,0,2,NYC,IX12011,NYC - i-doxs Payment Fee - Cash,EA,826,826,1.5,1239,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972106,0,3,NYC,IX12012,Monthly minimum,EA,0.0000001,0.0000001,1.5,0.00000015,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972099,0,1,NYC,IX1101,NYC - i-doxs Load Fee - Pages,EA,0.000001,0.000001,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972099,0,2,NYC,IX1103,NYC - i-doxs Views,EA,0.000001,0.000001,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972099,0,3,NYC,IX1201,NYC - i-doxs Payment Fee,EA,9,9,0.231,2.079,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972099,0,4,NYC,IX1401,NYC - i-doxs CheckFree Distribution,EA,0.000001,0.000001,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972099,0,5,NYC,IX1600,NYC - i-doxs SMS Notification,EA,0.000001,0.000001,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972097,0,2,NYC,IX1201,NYC - i-doxs Convenience Fee Payments,EA,31931,31931,2.45,78230.95,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972096,0,3,NYC,IX11204,NYC - i-doxs Payment Fee - DC - May price difference,EA,96709,96709,0.1,9670.9,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972096,0,4,NYC,IX11217,NYC - i-doxs Payment Fee - PD - May price difference,EA,101038,101038,0.1,10103.8,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972096,0,5,NYC,IX11220,NYC - i-doxs Payment Fee - DC - June price difference,EA,92811,92811,0.1,9281.1,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972096,0,6,NYC,IX11221,NYC - i-doxs Payment Fee - PD - June price difference,EA,99472,99472,0.1,9947.2,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972089,0,1,LA,IX3205,LA - i-doxs Payment Fee - Kiosk - Jul 2025,EA,62,62,1.5,93,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972089,0,2,LA,IX32051,LA - i-doxs Payment Fee - Kiosk - Monthly minimum Jul 2025,EA,1438,1438,1.5,2157,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,1,LA,IX3101,LA - i-doxs Load Fee - Pages,EA,3634598,3634598,0.0035,12721.093,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,2,LA,IX3102,LA - i-doxs Load Fee - Documents,EA,2682138,2682138,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,3,LA,IX3103,LA - i-doxs Views,EA,163495,163495,0.08,13079.6,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,4,LA,IX3104,LA - i-doxs Creation Fee - Pages,EA,3634598,3634598,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,5,LA,IX3105,LA - i-doxs Creation Fee - Documents,EA,2682138,2682138,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,6,LA,IX31201,LA - i-doxs Payment Fee Approved,EA,1278220,1278220,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,7,LA,IX31202,LA - i-doxs Payment Fee Approved - VBS,EA,1175106,1175106,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,8,LA,IX31204,LA - i-doxs Payment Fee Approved - IVR,EA,86293,86293,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
