Order  #,Ext,Customer Code,Ship To,Ship To Name,Location,Customer PO No,Carrier,FOB,Attention,Tax Code,Terms,Currency,Total Order Amt,Total Tax,Total Discount,Freight Amt,Total Invoice,Invoice No,Invoice Date,Enter Date,Sch Ship Date,Ship Date,Status,Who Enter,Blanket,Multiple Ship To,,,,,,,,,,,,,,,,,,,,,,
1804060,0,C0000628,88LA,Invoice,LA,6427538,KUBRA,DEST,,E9,N0,USD,137.72,9.59,0,0,147.31,INV0204311,2024-07-02,2024-06-28 9:30,2024-06-28 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803495,0,C0000628,88LA,Invoice,LA,6426017,KUBRA,DEST,,E9,N0,USD,118.56,8.28,0,0,126.84,INV0204311,2024-07-02,2024-06-27 9:30,2024-06-27 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802927,0,C0000628,88LA,Invoice,LA,6424458,KUBRA,DEST,,E9,N0,USD,119.63,8.19,0,0,127.82,INV0204311,2024-07-02,2024-06-26 9:31,2024-06-26 9:31,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802387,0,C0000628,88LA,Invoice,LA,6422915,KUBRA,DEST,,E9,N0,USD,105.52,7.84,0,0,113.36,INV0204311,2024-07-02,2024-06-25 9:30,2024-06-25 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801860,0,C0000628,88LA,Invoice,LA,6421391,KUBRA,DEST,,E9,N0,USD,87.06,6.1,0,0,93.16,INV0204311,2024-07-02,2024-06-24 9:30,2024-06-24 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801262,0,C0000628,88LA,Invoice,LA,6419284,KUBRA,DEST,,E9,N0,USD,79.83,5.23,0,0,85.06,INV0204311,2024-07-02,2024-06-21 9:30,2024-06-21 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1800739,0,C0000628,88LA,Invoice,LA,6417783,KUBRA,DEST,,E9,N0,USD,72.59,4.88,0,0,77.47,INV0204311,2024-07-02,2024-06-20 9:31,2024-06-20 9:31,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1800347,0,C0000628,88LA,Invoice,LA,6416442,KUBRA,DEST,,E9,N0,USD,91.53,6.36,0,0,97.89,INV0204311,2024-07-02,2024-06-19 11:00,2024-06-19 11:00,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1799809,0,C0000628,88LA,Invoice,LA,6414924,KUBRA,DEST,,E9,N0,USD,90.89,6.36,0,0,97.25,INV0204311,2024-07-02,2024-06-18 9:30,2024-06-18 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1799274,0,C0000628,88LA,Invoice,LA,6413391,KUBRA,DEST,,E9,N0,USD,115.36,8.28,0,0,123.64,INV0204311,2024-07-02,2024-06-17 9:30,2024-06-17 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1798686,0,C0000628,88LA,Invoice,LA,6411256,KUBRA,DEST,,E9,N0,USD,96.21,6.71,0,0,102.92,INV0204311,2024-07-02,2024-06-14 9:30,2024-06-14 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1798141,0,C0000628,88LA,Invoice,LA,6409748,KUBRA,DEST,,E9,N0,USD,75.99,5.23,0,0,81.22,INV0204311,2024-07-02,2024-06-13 9:30,2024-06-13 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1797614,0,C0000628,88LA,Invoice,LA,6408218,KUBRA,DEST,,E9,N0,USD,87.06,6.1,0,0,93.16,INV0204311,2024-07-02,2024-06-12 9:31,2024-06-12 9:31,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1797097,0,C0000628,88LA,Invoice,LA,6406700,KUBRA,DEST,,E9,N0,USD,89.77,6.18,0,0,95.95,INV0204311,2024-07-02,2024-06-11 9:30,2024-06-11 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1796571,0,C0000628,88LA,Invoice,LA,6405176,KUBRA,DEST,,E9,N0,USD,52.79,3.57,0,0,56.36,INV0204311,2024-07-02,2024-06-10 9:30,2024-06-10 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
